model,item_id,seed,family,template,k,expected_count,expected_words,target_unit,n_words,duration_s,count_a,rms,spectral_flatness,trailing_silence_s,loop_ac_peak,n_speech_tokens,hit_cap,count_b,expected_duration_s,duration_ratio,agree,count_final,outcome,correct,transcript
xtts2es,ct_lejos_et3_k03,0,control_word,et3,3,3,11,lejos,12,3.52,3,0.14819331467151642,0.023271288722753525,0.15408333333333332,0.19718274474143982,75,False,3,3.523555555555556,0.9989909182643792,True,3,correct,1,el camino hondo cerca a alto en el bosque antes de volver
xtts2es,ct_lejos_et3_k03,1,control_word,et3,3,3,11,lejos,11,3.3386666666666667,3,0.14896148443222046,0.026401711627840996,0.146625,0.21342942118644714,71,False,3,3.523555555555556,0.9475277497477294,True,3,correct,1,el camino hondo cerca alto en el bosque antes de volver
xtts2es,ct_lejos_et3_k03,2,control_word,et3,3,3,11,lejos,11,3.712,3,0.14453467726707458,0.029140396043658257,0.15866666666666668,0.264301061630249,79,False,3,3.523555555555556,1.0534813319878908,True,3,correct,1,el camino hondo cerca alto en el bosque antes de volver
xtts2es,ct_lejos_et3_k04,0,control_word,et3,4,4,12,lejos,12,3.3813333333333335,4,0.1466255486011505,0.02879478596150875,0.15266666666666667,0.38468119502067566,72,False,3,3.9431111111111115,0.8575293056807934,True,4,correct,1,el camino hondo cerca alto recto en el bosque antes de volver
xtts2es,ct_lejos_et3_k04,1,control_word,et3,4,4,12,lejos,12,4.1706666666666665,4,0.14806221425533295,0.0251608919352293,0.14858333333333335,0.2829209566116333,89,False,5,3.9431111111111115,1.0577096483318305,True,4,correct,1,el camino hondo cerca alto recto en el bosque antes de volver
xtts2es,ct_lejos_et3_k04,2,control_word,et3,4,4,12,lejos,13,3.4346666666666668,4,0.15597613155841827,0.02557763084769249,0.17958333333333334,0.2925134599208832,73,False,3,3.9431111111111115,0.8710550045085662,True,4,correct,1,el camino hondo cerca a alto recto en el bosque antes de volver
xtts2es,ct_lejos_et3_k06,0,control_word,et3,6,6,14,lejos,16,5.013333333333334,5,0.14561766386032104,0.03523048385977745,0.13175,0.20629949867725372,107,False,7,4.782222222222222,1.0483271375464684,False,7,undercount,0,el camino hondo cerca alto recto abajo sólo en el bosque antes de volver er
xtts2es,ct_lejos_et3_k06,1,control_word,et3,6,6,14,lejos,17,5.152,5,0.14977282285690308,0.03650563582777977,0.16979166666666667,0.2326115369796753,110,False,7,4.782222222222222,1.0773234200743496,False,7,undercount,0,el camino hondo cerca al alto recto abajo sólo en el bosque antes de volver vr
xtts2es,ct_lejos_et3_k06,2,control_word,et3,6,6,14,lejos,15,4.1706666666666665,6,0.1557256281375885,0.027172444388270378,0.15691666666666668,0.22135767340660095,89,False,5,4.782222222222222,0.8721189591078067,True,6,correct,1,el camino hondo cerca a alto recto abajo solo en el bosque antes de volver
xtts2es,ct_lejos_et3_k08,0,control_word,et3,8,8,16,lejos,19,5.429333333333333,6,0.149567648768425,0.025983430445194244,0.16425,0.1794978231191635,116,False,8,5.621333333333332,0.9658444022770399,False,8,undercount,0,el camino hondo cerca alto recto abajo sólo rasó lento en el bosque antes de evol de volver
xtts2es,ct_lejos_et3_k08,1,control_word,et3,8,8,16,lejos,18,5.941333333333334,7,0.1471548229455948,0.03252307325601578,0.169125,0.2345324456691742,127,False,9,5.621333333333332,1.0569259962049338,False,9,undercount,0,el camino hondo cerca a alto recto abajo sólo raso lento en el bosque antes de volver
xtts2es,ct_lejos_et3_k08,2,control_word,et3,8,8,16,lejos,18,5.706666666666667,5,0.14268521964550018,0.027953168377280235,0.14483333333333334,0.25277039408683777,122,False,8,5.621333333333332,1.0151802656546491,False,8,undercount,0,el camino ondo cerca alto recto abajo sólo razo lento en el bosque a antes de volver
xtts2es,ct_lejos_et3_k12,0,control_word,et3,12,12,20,lejos,22,8.117333333333333,9,0.14006507396697998,0.03544202819466591,0.16729166666666667,0.21772196888923645,174,False,14,7.2995555555555525,1.112031173891866,False,14,undercount,0,el camino hondo cerca alto recto abajo sólo razo lento hondo cerca al to recto en el bosque antes de volver
xtts2es,ct_lejos_et3_k12,1,control_word,et3,12,12,20,lejos,22,7.562666666666667,7,0.13986438512802124,0.03788048028945923,0.13704166666666667,0.22522886097431183,162,False,13,7.2995555555555525,1.0360448124695572,False,13,undercount,0,el camino hondo cerca al alto recto abajo sólo raso lento hondocerca rca al torrecto en el bosque antes de volver
xtts2es,ct_lejos_et3_k12,2,control_word,et3,12,12,20,lejos,22,7.424,4,0.14188306033611298,0.03888308256864548,0.152625,0.23247121274471283,159,False,12,7.2995555555555525,1.01704822211398,False,12,undercount,0,el camino hondo cerca al torrecto abajo sólo razo lento hondo cercao erca alto recto en el bosque antes de volver
xtts2es,ct_lejos_et3_k16,0,control_word,et3,16,16,24,lejos,28,9.792,7,0.13743488490581512,0.038382917642593384,0.152,0.3014880418777466,210,False,18,8.977777777777774,1.090693069306931,False,18,undercount,0,el camino hondo cerca a alto recto abajo sólo razo lento hondo cerca alto recto a abajo sólo raso lento en el bosque antes de volver
xtts2es,ct_lejos_et3_k16,1,control_word,et3,16,16,24,lejos,27,9.141333333333334,12,0.13708385825157166,0.03920282423496246,0.15341666666666667,0.27598753571510315,196,False,16,8.977777777777774,1.0182178217821787,False,16,undercount,0,el camino hondo cerca al alto recto abajo sólo raso lento hondocerco a alto recto abajo sólo raso lento en el bosque antes de volver
xtts2es,ct_lejos_et3_k16,2,control_word,et3,16,16,24,lejos,31,13.184,7,0.12589320540428162,0.05238201096653938,0.16841666666666666,0.26904717087745667,283,False,26,8.977777777777774,1.468514851485149,False,26,undercount,0,el camino hondo cerca alto recto abajo sólo razo lento hondo ndo cerca alto recto abajo sólo raso lento en el bosque antes de volver rpomi vzinte santa rierse
xtts2es,ct_lejos_et3_k24,0,control_word,et3,24,24,32,lejos,49,20.565333333333335,14,0.13661909103393555,0.03856624662876129,0.12216666666666667,0.2054462879896164,442,False,44,12.334222222222214,1.6673392908619211,False,44,loop,0,el camino hondo cerca a alto recto a abajo sólo raso lento hondo cerca alto recto abajo sólo razo lento hondocerca ca alto recto abajo sólo raso lento en el bosque antes de volver ventos de mir enferno enran un bilidegram as gass antes de volver
xtts2es,ct_lejos_et3_k24,1,control_word,et3,24,24,32,lejos,42,20.288,6,0.13333113491535187,0.043936893343925476,0.1585,0.26907628774642944,436,False,43,12.334222222222214,1.6448544249063142,False,43,loop,0,el camino hondo cercade alto recto abajo sólo razo lento hondo docercaba torrecto abajo sólo razo lento hundocerca cerca alto recto abajo sólo razo lento en el bosque antes de volver dincho venó el bosque antes de volve volver
xtts2es,ct_lejos_et3_k24,2,control_word,et3,24,24,32,lejos,36,14.485333333333333,13,0.13531377911567688,0.0410267673432827,0.12783333333333333,0.20287472009658813,311,False,29,12.334222222222214,1.1744018449120792,False,29,undercount,0,el camino hondo cerca a alto recto abajo solo raso lento hondo erca alto recto abajo solo raso lento hondo cerca al tor to recto abajo sólo razo lento en el bosque antes de volver
xtts2es,ct_lejos_et3_k32,0,control_word,et3,32,32,40,lejos,52,23.072,20,0.1332586407661438,0.04379667341709137,0.13816666666666666,0.1679520606994629,496,False,50,15.690666666666656,1.470428280081578,False,50,undercount,0,el camino hondo cerca a alto recto abajo solo raso lentohondo ndo cerca alto recto abajo solo raso lento hondo do cerca alto recto abajo sólo razo lento hondo cerca alto alto recto abajo sólo rastro lento en el bosque antes de volver minu indo en bambos antes de volver
xtts2es,ct_lejos_et3_k32,1,control_word,et3,32,32,40,lejos,56,20.288,20,0.1360434889793396,0.037813715636730194,0.10883333333333334,0.17594701051712036,436,False,43,15.690666666666656,1.2929979605710409,False,43,undercount,0,el camino hondo cercada al torreto abajo sólo razo lentohondo cerca alto recto abajo sólo raso lento hondo cerca alto recto abajo sólo raso lento hondo cerca alto errecto a abajosolo o aso lento hondo cerca a alto recto a bajo sólo raso lento en el bosque antes de volve e volver
xtts2es,ct_lejos_et3_k32,2,control_word,et3,32,32,40,lejos,45,21.173333333333332,6,0.12476953119039536,0.04012329876422882,1.4905833333333334,0.2863990068435669,455,False,45,15.690666666666656,1.3494221617946982,False,45,undercount,0,el camino ondo cerca a alto recto abajo solo razo lento ondo cercal alto recto abajo sólo razo lento hondo cerca al tor recto abajo solo raso lento hondo cerca alto recto abajo  sólo razo lento en el bosque  antes de volver mee
xtts2es,ct_muy_et1_k02,0,control_word,et1,2,2,11,muy,11,3.7546666666666666,0,0.14157262444496155,0.02043638378381729,0.16179166666666667,0.3705418109893799,80,False,2,3.381333333333338,1.1104100946372224,False,2,undercount,0,el perro era tampoco grande y corría por el campo
xtts2es,ct_muy_et1_k02,1,control_word,et1,2,2,11,muy,11,3.2426666666666666,0,0.13462971150875092,0.017772551625967026,0.1375,0.09049958735704422,69,False,2,3.381333333333338,0.9589905362776012,False,2,undercount,0,el perro era tampoco grande y corría por el campo
xtts2es,ct_muy_et1_k02,2,control_word,et1,2,2,11,muy,12,3.3813333333333335,2,0.13281391561031342,0.007120948284864426,0.16,0.19503678381443024,72,False,2,3.381333333333338,0.9999999999999987,True,2,correct,1,el perro era tan poco grande y corría por el campo
xtts2es,ct_muy_et1_k03,0,control_word,et1,3,3,12,muy,25,9.045333333333334,3,0.12796124815940857,0.023319439962506294,0.19983333333333334,0.2742256820201874,194,False,4,6.3306666666666676,1.4288121314237572,True,3,correct,1,el perro era tan poco algo grande y corría por el campo irañevos de vivas aguas somelconéno sobre el qeampos cabame conesta
xtts2es,ct_muy_et1_k03,1,control_word,et1,3,3,12,muy,11,3.008,1,0.13843445479869843,0.005936224479228258,0.13954166666666667,0.21524876356124878,64,False,2,6.3306666666666676,0.4751474304970513,True,1,truncation,0,el perro era tampoco algo grande corría por el campo
xtts2es,ct_muy_et1_k03,2,control_word,et1,3,3,12,muy,13,3.616,3,0.1396033763885498,0.006971391383558512,0.121375,0.20550045371055603,77,False,2,6.3306666666666676,0.5711878685762426,True,3,truncation,0,el perro era tan poco algo grande y corría por el campo
xtts2es,ct_muy_et1_k04,0,control_word,et1,4,4,13,muy,13,3.9466666666666668,1,0.13756561279296875,0.019095102325081825,0.17770833333333333,0.23438392579555511,84,False,2,9.279999999999998,0.4252873563218392,True,1,truncation,0,el perro era tampoco algo arto grande y corría por el campo
xtts2es,ct_muy_et1_k04,1,control_word,et1,4,4,13,muy,13,4.224,1,0.12137384712696075,0.030998464673757553,1.2025833333333333,0.43864935636520386,90,False,2,9.279999999999998,0.4551724137931036,True,1,truncation,0,el perro era tampoco algo arto grande y corría por el campo
xtts2es,ct_muy_et1_k04,2,control_word,et1,4,4,13,muy,14,4.128,3,0.1392248570919037,0.0059470441192388535,0.14866666666666667,0.2216779589653015,88,False,2,9.279999999999998,0.44482758620689666,True,3,truncation,0,el perro era tan poco algo arto grande y corría por el campo
xtts2es,ct_muy_et1_k06,0,control_word,et1,6,6,15,muy,16,4.597333333333333,5,0.13610334694385529,0.010189894586801529,0.17033333333333334,0.1935155689716339,98,False,2,15.178666666666658,0.3028812368236123,False,5,truncation,0,el perro era tan poco algo arto casi medio grande y corría por el campo
xtts2es,ct_muy_et1_k06,1,control_word,et1,6,6,15,muy,15,3.6586666666666665,3,0.13703954219818115,0.010557065717875957,0.16904166666666667,0.16344799101352692,78,False,2,15.178666666666658,0.24104005621925523,True,3,truncation,0,el perro era tampoco algo arto casi medio grande y corría por el camp
xtts2es,ct_muy_et1_k06,2,control_word,et1,6,6,15,muy,16,4.778666666666667,5,0.1378849893808365,0.009561832994222641,0.13970833333333332,0.3208290636539459,102,False,2,15.178666666666658,0.31482782853127217,False,5,truncation,0,el perro era tan poco algo arto casi medio grande y corría por el campo
xtts2es,ct_muy_et1_k08,0,control_word,et1,8,8,17,muy,19,5.888,5,0.13904495537281036,0.0190842617303133,0.14083333333333334,0.20420362055301666,126,False,3,21.077333333333318,0.27935222672064797,False,5,truncation,0,el perro era tampoco algo arto casi medio nada bien grande y corría ría por el campo
xtts2es,ct_muy_et1_k08,1,control_word,et1,8,8,17,muy,17,4.405333333333333,5,0.14255686104297638,0.008196423761546612,0.170125,0.18688234686851501,94,False,2,21.077333333333318,0.20900809716599206,False,5,truncation,0,el perro era tampoco algo arto casi medio nada bien grande y corría por el campo
xtts2es,ct_muy_et1_k08,2,control_word,et1,8,8,17,muy,17,6.026666666666666,7,0.13914477825164795,0.020495662465691566,0.13425,0.21869966387748718,129,False,3,21.077333333333318,0.28593117408906904,False,7,truncation,0,el perro era tan poco algo arto casi medio nada bien grande corría por el campo
xtts2es,ct_muy_et1_k12,0,control_word,et1,12,12,21,muy,22,7.424,6,0.14427787065505981,0.016140365973114967,0.17241666666666666,0.22451239824295044,159,False,3,32.87466666666664,0.22582738481505535,False,6,truncation,0,el perro era tanpoco algo arto casi medio nada bien tampoco algo ar o arto grande y corría por el campo
xtts2es,ct_muy_et1_k12,1,control_word,et1,12,12,21,muy,20,6.176,6,0.14277932047843933,0.016441142186522484,0.17691666666666667,0.18768231570720673,132,False,3,32.87466666666664,0.18786502271252448,False,6,truncation,0,el perro era tampoco algo arto casi medio nada bien tampoco algo arto grande y corría por el camp
xtts2es,ct_muy_et1_k12,2,control_word,et1,12,12,21,muy,21,6.8693333333333335,7,0.13660764694213867,0.013357402756810188,0.16883333333333334,0.21999257802963257,147,False,3,32.87466666666664,0.20895522388059717,False,7,truncation,0,el perro era tan poco algo arto casi medio nada bien tampoco aguarto arto grande y corría por el campo
xtts2es,ct_muy_et1_k16,0,control_word,et1,16,16,25,muy,24,8.821333333333333,9,0.14308950304985046,0.018194571137428284,0.156625,0.18512794375419617,189,False,4,44.67199999999996,0.19746895893027716,False,9,truncation,0,el perro era tampoco algo arto casi medio nada bien tampocoalo rt arto casi medio nada bien grande y corría por el campo
xtts2es,ct_muy_et1_k16,1,control_word,et1,16,16,25,muy,25,7.978666666666666,10,0.14442448318004608,0.015445936471223831,0.19504166666666667,0.19876982271671295,171,False,4,44.67199999999996,0.1786055396370584,False,10,truncation,0,el perro era tampoco algo arto casi medio nada bien tampoco algo arto casi asi medio nada bien grande y corría por el campo
xtts2es,ct_muy_et1_k16,2,control_word,et1,16,16,25,muy,27,8.405333333333333,11,0.14339138567447662,0.019973425194621086,0.12233333333333334,0.21272672712802887,180,False,4,44.67199999999996,0.1881566380133717,False,11,truncation,0,el perro era tan poco algo arto casi medio nada bien tampoco hay jugard arto casi en medio nada bien grande y corría por el campo
xtts2es,ct_muy_et1_k24,0,control_word,et1,24,24,33,muy,32,10.773333333333333,6,0.14387626945972443,0.018457280471920967,0.13095833333333334,0.14417991042137146,231,False,5,68.2666666666666,0.15781250000000016,True,6,truncation,0,el perro era tampoco algo arto casi medio nada bien tampoco algo arto arto casi medio nada bien tampoco algua harto casi medio nada bien grandey corri rría por el campo
xtts2es,ct_muy_et1_k24,1,control_word,et1,24,24,33,muy,39,14.666666666666666,6,0.13704991340637207,0.01812721975147724,0.16479166666666667,0.14254596829414368,315,False,6,68.2666666666666,0.21484375000000022,True,6,truncation,0,el perro era tampoco algo arto casi medio nada bien tampoco algo arto casi medio nada bien tampoco algo arto casi medio nada bien tampoco poco algo arto casi medio nada bien grande y corría por el campo
xtts2es,ct_muy_et1_k24,2,control_word,et1,24,24,33,muy,32,11.648,15,0.13651365041732788,0.02164248190820217,0.14079166666666668,0.26791003346443176,250,False,5,68.2666666666666,0.17062500000000017,False,15,truncation,0,el perro era tampoco algo arto casi medio nada bien tampoco algo arto casi medio nada bien tampoco algo arto casi medio nada bien grande nde y corría por el campo
xtts2es,ct_muy_et1_k32,0,control_word,et1,32,32,41,muy,50,20.149333333333335,6,0.13655373454093933,0.02663610875606537,0.152625,0.17824015021324158,433,False,8,91.86133333333323,0.21934509986065978,True,6,truncation,0,el perro era tampoco algo arto casi medio nada bien tampoco algo ardo casi medio nada bien tampoco algo arto casi me dio nada bien bien tampoco algo harto casi me dio nada bien tampoco alg algo arto casi medio nada bien grande y corría por el campo ampos
xtts2es,ct_muy_et1_k32,1,control_word,et1,32,32,41,muy,46,19.082666666666668,15,0.12410617619752884,0.02152992971241474,0.18766666666666668,0.24155572056770325,410,False,7,91.86133333333323,0.20773339526242476,False,15,truncation,0,el perro era tampoco algo arto casi medio nada bien tampoco algo arto casi medio nada bien tampoco algo harto casi medio nada bien tampoco algo go harto casi medio nada bien tampoco algo así ne dio nada bien grande y corría por el campo
xtts2es,ct_muy_et1_k32,2,control_word,et1,32,32,41,muy,48,19.541333333333334,11,0.13302476704120636,0.02446473389863968,0.15204166666666666,0.15538647770881653,420,False,7,91.86133333333323,0.2127264282396658,True,11,truncation,0,el perro era tampoco algo arto casi medio nada bien tampoco algo art uarto casi medio nada bien tampoco algo harto casi medio n o nada bien tampoco algo arto casi me dio nada bien  tampoco algo arto casi medio nada bien grande y corria por el campo
xtts2es,ct_no_et2_k02,0,control_word,et2,2,2,10,no,10,2.688,2,0.14331257343292236,0.028502587229013443,0.16225,0.25021329522132874,57,False,2,2.7200000000000006,0.9882352941176469,True,2,correct,1,ella dijo claro bueno a la oferta y luego salió
xtts2es,ct_no_et2_k02,1,control_word,et2,2,2,10,no,10,2.965333333333333,2,0.14892169833183289,0.03343087062239647,0.17445833333333333,0.2450592964887619,63,False,2,2.7200000000000006,1.0901960784313722,True,2,correct,1,ella dijo claro bueno a la oferta y luego salió
xtts2es,ct_no_et2_k02,2,control_word,et2,2,2,10,no,10,2.506666666666667,2,0.14264443516731262,0.028427263721823692,0.18079166666666666,0.18352019786834717,53,False,2,2.7200000000000006,0.9215686274509802,True,2,correct,1,ella dijo claro bueno a la oferta y luego salió
xtts2es,ct_no_et2_k03,0,control_word,et2,3,3,11,no,11,3.3813333333333335,3,0.13390858471393585,0.033869773149490356,0.173375,0.2258588820695877,72,False,3,3.4453333333333336,0.9814241486068112,True,3,correct,1,ella dijo claro bueno vale a la oferta y luego salió
